sender_id,receiver_id,amount,timestamp,location,device_id
101,500,45000,2026-06-23 10:00:00,New Delhi,D-Android-01
102,500,62000,2026-06-23 10:15:00,Mumbai,D-iPhone-03
103,500,125000,2026-06-23 10:30:00,Bengaluru,D-Android-05
104,500,30000,2026-06-23 10:45:00,Kolkata,D-Android-09
105,201,80000,2026-06-23 11:00:00,Chennai,D-Android-11
201,900,79000,2026-06-23 11:05:00,Delhi,D-Nokia-02
106,202,50000,2026-06-23 11:15:00,Hyderabad,D-iPhone-04
202,900,49500,2026-06-23 11:27:00,Pune,D-Nokia-07
107,203,250000,2026-06-23 11:40:00,Ahmedabad,D-Android-20
203,900,249000,2026-06-23 11:42:00,Surat,D-Samsung-15
108,888,15000,2026-06-23 12:00:00,Jaipur,D-Web-99
109,888,12000,2026-06-23 12:01:00,Lucknow,D-Web-99
110,888,18000,2026-06-23 12:02:00,Patna,D-Web-99
111,888,14000,2026-06-23 12:03:00,Bhopal,D-Web-99
112,888,20000,2026-06-23 12:04:00,Indore,D-Web-99
301,302,1500,2026-06-23 09:30:00,Dehradun,D-Android-15
302,303,800,2026-06-23 14:15:00,Noida,D-iPhone-09
304,305,2500,2026-06-23 15:45:00,Gurugram,D-Android-88
305,306,1200,2026-06-23 18:22:00,Faridabad,D-Web-01
